종목명,시가총액,조단위,누적비율
삼성전자,4010555,401.0555,0.13991414925531842
SK하이닉스,1981986,198.1986,0.20905866541977733
LG에너지솔루션,775710,77.571,0.23612045729617426
삼성바이오로직스,738074,73.8074,0.2618692615882161
한화에어로스페이스,470774,47.0774,0.2782929096123732
삼성전자우,452866,45.2866,0.29409181054171063
KB금융,437537,43.7537,0.3093559366097297
두산에너빌리티,431738,43.1738,0.3244177559766734
현대차,426920,42.692,0.33931149228002305
셀트리온,403481,40.3481,0.353387524364282
기아,394889,39.4889,0.36716381180711305
NAVER,380249,38.0249,0.3804293611737682
HD현대중공업,377952,37.7952,0.393614776294455
신한지주,332564,33.2564,0.4052167638330739
삼성물산,295844,29.5844,0.41553771980357934
현대모비스,273549,27.3549,0.42508088168881547
POSCO홀딩스,264246,26.4246,0.4342994946449078
삼성생명,263800,26.38,0.44350254823064666
하나금융지주,261092,26.1092,0.45261112922688523
한화오션,258306,25.8306,0.4616225164881357
카카오,250622,25.0622,0.470365836032355
HMM,249085,24.9085,0.4790555350558719
HD한국조선해양,241336,24.1336,0.4874748987411179
한국전력,237527,23.7527,0.4957613798217085
